High,Low,Open,Volume,"_time",stock
"123.98","119.35","123.98",1681246,"1643760000.000000",BCUP
147,"139.36","146.27",4029115,"1643760000.000000",NAY
"135.96","132.5","133.76",6206448,"1643673600.000000",PWNY
"124.72","120.85","123.69",1649695,"1643673600.000000",BCUP
"149.95","141.92","147.89",4089603,"1643673600.000000",NAY
"134.09","132.3","134.09",5859043,"1643587200.000000",PWNY
"124.0799","113.59","113.8",3095947,"1643587200.000000",BCUP
"147.7386","136.96","136.96",4826796,"1643587200.000000",NAY
"134.53","131.79","133.19",5471497,"1643328000.000000",PWNY
"113.87","106.71","109.61",2246116,"1643328000.000000",BCUP
"137.53","122.69","130.31",4943147,"1643328000.000000",NAY
"134.75","132.08","133.66",5499566,"1643241600.000000",PWNY
"115.38","108.85","114.93",3584265,"1643241600.000000",BCUP
"135.13","127.385","131.28",3212771,"1643241600.000000",NAY
"137.07","133.13","136.47",8335992,"1643155200.000000",PWNY
"119.95","112.12","118.15",3121562,"1643155200.000000",BCUP
"139.49","126.07","132.54",6942936,"1643155200.000000",NAY
"137.3361","128.3","129.14",19715700,"1643068800.000000",PWNY
"120.42","114.365","118.86",3384450,"1643068800.000000",BCUP
"134.19","124.9","134.19",4930410,"1643068800.000000",NAY
"129.15","124.193","127.99",13777650,"1642982400.000000",PWNY
"121.5499","112.22","115.4",4612555,"1642982400.000000",BCUP
"137.5","119.19","121.745",7411064,"1642982400.000000",NAY
"131.87","129.27","131.65",5906950,"1642723200.000000",PWNY
"119.68","115.01","116.8",4010260,"1642723200.000000",BCUP
"134.48","125.36","128.26",4075308,"1642723200.000000",NAY
"132.88","130.5705","131.26",5278244,"1642636800.000000",PWNY
122,"117.92","120.32",1992066,"1642636800.000000",BCUP
"139.69","129.35","132.88",3174930,"1642636800.000000",NAY
"133.9","131.5","132.9",4103694,"1642550400.000000",PWNY
"121.92",118,"118.14",1859410,"1642550400.000000",BCUP
"137.37","130.63","133.205",3824817,"1642550400.000000",NAY
"133.89","131.78","132.95",5247453,"1642464000.000000",PWNY
"121.425","117.27","119.18",2548174,"1642464000.000000",BCUP
"139.85","131.21","132.96",4619506,"1642464000.000000",NAY
"135.14","133.3","134.55",5310305,"1642118400.000000",PWNY
"123.46","118.72","118.75",1943958,"1642118400.000000",BCUP
"139.725","132.65","135.34",4274518,"1642118400.000000",NAY
"136.05","133.56","133.9",4868349,"1642032000.000000",PWNY
"122.08","119.08","121.03",2987877,"1642032000.000000",BCUP
"147.81","134.94","145.75",4061911,"1642032000.000000",NAY
"134.47","131.37","133.25",5352014,"1641945600.000000",PWNY
"123.94","119.66","123.18",2633177,"1641945600.000000",BCUP
"153.6","144.36","150.38",2303574,"1641945600.000000",NAY
"133.25","127.97","130.52",11105320,"1641859200.000000",PWNY
"122.78","116.58","118.14",2073643,"1641859200.000000",BCUP
"150.12","143.5","144.8",2866760,"1641859200.000000",NAY
"136.2","133.38","134.47",5432807,"1641772800.000000",PWNY
"118.4854","111.6","113.275",2223494,"1641772800.000000",BCUP
"146.52","134.17","139.78",4963718,"1641772800.000000",NAY
"135.6618","133.5111","134.9",5238099,"1641513600.000000",PWNY
